45.91899037361145
         121232705 function calls (108095604 primitive calls) in 60.957 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
190099/51009    0.162    0.000    0.386    0.000 type_string_repr.py:42(render_type)
  1199348    0.284    0.000    0.384    0.000 parse_python.py:20(fields_for_node)
   190166    0.172    0.000    0.381    0.000 type.py:65(is_atomic)
   860218    0.313    0.000    0.381    0.000 type.py:137(unify)
        4    0.000    0.000    0.376    0.094 data.py:1(<module>)
  1135445    0.372    0.000    0.372    0.000 {method 'match' of 're.Pattern' objects}
     3661    0.009    0.000    0.369    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
        2    0.001    0.000    0.365    0.182 decompositions.py:1(<module>)
   128977    0.048    0.000    0.356    0.000 {built-in method builtins.all}
     3661    0.356    0.000    0.356    0.000 {built-in method marshal.loads}
      402    0.035    0.000    0.355    0.001 dsl.py:193(<setcomp>)
   648709    0.273    0.000    0.338    0.000 canonicalize_de_bruijn.py:46(is_dbvar_wrapper_symbol)
       18    0.000    0.000    0.337    0.019 imports.py:67(compare_version)
16861/12427    0.007    0.000    0.337    0.000 parse_python.py:60(<listcomp>)
272924/161130    0.116    0.000    0.335    0.000 {method 'join' of 'str' objects}
   917660    0.165    0.000    0.335    0.000 {method 'add' of 'set' objects}
    51021    0.034    0.000    0.335    0.000 type_signature.py:281(<setcomp>)
92538/84842    0.227    0.000    0.321    0.000 type.py:107(depth)
       13    0.000    0.000    0.320    0.025 api.py:1(<module>)
1713125/139121    0.319    0.000    0.319    0.000 export_as_dsl.py:160(traverse)
        5    0.001    0.000    0.313    0.063 __init__.py:274(load)
        1    0.000    0.000    0.304    0.304 fake_tensor.py:1(<module>)
4066/3988    0.032    0.000    0.299    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
        1    0.000    0.000    0.299    0.299 _guards.py:1(<module>)
   363020    0.116    0.000    0.299    0.000 names.py:12(match_either)
  3690041    0.289    0.000    0.289    0.000 {built-in method builtins.id}
     5180    0.286    0.000    0.286    0.000 {built-in method builtins.compile}
   236420    0.072    0.000    0.284    0.000 dsl.py:197(<genexpr>)
